,datetime,open,high,low,close,volume,adj_close
2020-01-01 21:00:00,1577923200000,7200.77,7212.5,6924.74,6965.71,31951.483932,6965.71
2020-01-02 21:00:00,1578009600000,6965.49,7405.0,6871.04,7344.96,68428.500451,7344.96
2020-01-03 21:00:00,1578096000000,7345.0,7404.0,7272.21,7354.11,29987.974977,7354.11
2020-01-04 21:00:00,1578182400000,7354.19,7495.0,7318.0,7358.75,38331.085604,7358.75
2020-01-05 21:00:00,1578268800000,7357.64,7795.34,7346.76,7758.0,54635.695316,7758.0
2020-01-06 21:00:00,1578355200000,7758.9,8207.68,7723.71,8145.28,91171.684661,8145.28
2020-01-07 21:00:00,1578441600000,8145.92,8455.0,7870.0,8055.98,112622.64264,8055.98
2020-01-08 21:00:00,1578528000000,8054.72,8055.96,7750.0,7817.76,64239.51983,7817.76
2020-01-09 21:00:00,1578614400000,7817.74,8199.0,7672.0,8197.02,82406.777448,8197.02
2020-01-10 21:00:00,1578700800000,8198.86,8286.34,8003.16,8020.01,54810.032667,8020.01
2020-01-11 21:00:00,1578787200000,8020.01,8197.0,7960.0,8184.98,38131.494336,8184.98
2020-01-12 21:00:00,1578873600000,8184.97,8196.0,8055.89,8110.34,31159.755683,8110.34
2020-01-13 21:00:00,1578960000000,8110.34,8880.0,8105.54,8810.01,120399.126742,8810.01
2020-01-14 21:00:00,1579046400000,8814.64,8916.48,8564.0,8821.41,84816.297606,8821.41
2020-01-15 21:00:00,1579132800000,8820.01,8859.81,8586.0,8720.01,51991.074284,8720.01
2020-01-16 21:00:00,1579219200000,8720.15,9041.65,8672.44,8913.28,70897.737377,8913.28
2020-01-17 21:00:00,1579305600000,8913.27,8988.88,8806.38,8915.96,38294.746545,8915.96
2020-01-18 21:00:00,1579392000000,8915.09,9198.98,8466.0,8701.7,70676.889259,8701.7
2020-01-19 21:00:00,1579478400000,8701.72,8746.99,8521.28,8642.35,38896.639746,8642.35
2020-01-20 21:00:00,1579564800000,8642.35,8789.0,8488.0,8736.03,36494.687659,8736.03
2020-01-21 21:00:00,1579651200000,8736.04,8818.0,8590.0,8682.36,29080.557138,8682.36
2020-01-22 21:00:00,1579737600000,8682.77,8691.81,8306.39,8404.52,48165.944597,8404.52
2020-01-23 21:00:00,1579824000000,8404.52,8528.02,8238.0,8439.0,41687.529529,8439.0
2020-01-24 21:00:00,1579910400000,8438.99,8451.26,8254.9,8340.58,25521.157932,8340.58
2020-01-25 21:00:00,1579996800000,8340.01,8618.13,8293.66,8615.0,31130.485164,8615.0
2020-01-26 21:00:00,1580083200000,8614.39,9000.0,8535.0,8907.57,53973.542996,8907.57
2020-01-27 21:00:00,1580169600000,8907.57,9400.0,8862.4,9374.21,74584.853765,9374.21
2020-01-28 21:00:00,1580256000000,9375.34,9449.24,9216.0,9301.53,53864.065122,9301.53
2020-01-29 21:00:00,1580342400000,9301.57,9578.0,9204.44,9513.21,60626.744259,9513.21
2020-01-30 21:00:00,1580428800000,9511.52,9530.22,9210.01,9352.89,45552.022352,9352.89
2020-01-31 21:00:00,1580515200000,9351.71,9464.53,9281.0,9384.61,28578.067354,9384.61
2020-02-01 21:00:00,1580601600000,9384.41,9477.03,9120.0,9331.51,45690.91254,9331.51
2020-02-02 21:00:00,1580688000000,9331.59,9618.79,9234.0,9292.24,50892.133451,9292.24
2020-02-03 21:00:00,1580774400000,9291.35,9350.0,9093.01,9197.02,53308.175266,9197.02
2020-02-04 21:00:00,1580860800000,9197.02,9744.45,9177.22,9612.04,64870.415615,9612.04
2020-02-05 21:00:00,1580947200000,9612.03,9862.57,9526.35,9772.0,64949.706588,9772.0
2020-02-06 21:00:00,1581033600000,9772.0,9885.0,9730.0,9813.73,43966.114632,9813.73
2020-02-07 21:00:00,1581120000000,9813.87,9940.0,9667.11,9895.05,43600.843666,9895.05
2020-02-08 21:00:00,1581206400000,9895.04,10166.0,9880.75,10151.75,43408.475616,10151.75
2020-02-09 21:00:00,1581292800000,10151.72,10188.0,9756.0,9851.83,59573.084619,9851.83
2020-02-10 21:00:00,1581379200000,9851.74,10323.59,9700.0,10223.08,62422.395224,10223.08
2020-02-11 21:00:00,1581465600000,10223.08,10450.0,10223.08,10326.46,61008.06393,10326.46
2020-02-12 21:00:00,1581552000000,10325.33,10500.0,10080.0,10229.63,79344.358759,10229.63
2020-02-13 21:00:00,1581638400000,10227.78,10381.56,10111.37,10344.36,47038.480173,10344.36
